home_team,away_team
Mexico,South Arica
Korea Republic,Czechia
Canada,BiH
Australia,Turkey
USA,Paraguay
Haiti,Scotland
Brazil,Morocco
Qatar,Switzerland
Ivory Coast,Ecuador
Germany,Curacao
Netherlands,Japan
Sweden,Tunisia
Belgium,Egypt
Iran,New Zealand
Spain,Cape Verde
Saudi Arabia,Uruguay
France,Senegal
Iraq,Norway
Argentina,Algeria
Austria,Jordan
Portugal,DR Congo
Uzbekistan,Colombia
England,Croatia
Ghana,Panama
Czechia,South Africa
Mexico,Korea Republic
Switzerland,BiH
Canada,Qatar
Scotland,Morocco
Brazil,Haiti
Turkey,Paraguay
USA,Australia
Germany,Ivory Coast
Ecuador,Curacao
Netherlands,Sweden
Tunisia,Japan
Belgium,Iran
New Zealand,Egypt
Spain,Saudi Arabia
Uruguay,Cape Verde
France,Iraq
Norway,Senegal
Argentina,Austria
Jordan,Algeria
Portugal,Uzbekistan
Colombia,DR Congo
England,Ghana
Panama,Croatia
Mexico,Czechia
South Africa,Korea Republic
Switzerland,Canada
BiH,Qatar
Scotland,Brazil
Morocco,Haiti
Turkey,USA
Paraguay,Australia
Curacao,Ivory Coast
Ecuador,Germany
Japan,Sweden
Tunisia,Netherlands
Egypt,Iran
New Zealand,Belgium
Cape Verde,Saudi Arabia
Uruguay ,Spain
Norway,France
Senegal,Iraq
Algeria,Austria
Jordan,Argentina
Colombia,Portugal
DR Congo,Uzbekistan
Panama ,England
Croatia,Ghana
